MsgAcTrackState,m_callsign,,,m_timeOfApplicability,Lat,m_horizontalPosition1,Long,m_horizontalPosition2,Alt,m_Altitude,Vel_N,m_horizontalVelocity1,Vel_E,m_horizontalVelocity2,VertSpd,m_verticalSpeed,
" ""traffic"": { """,N3GC,""": ["," { ""time"":",1540234109," , ""p1"":",45.71518796," , ""p2"":",-112.8094481," , ""p3"":",4940.682416," , ""v1"":",-98.09850366," , ""v2"":",-19.21720169," , ""v3"":",0," },"
,,," { ""time"":",1540234110," , ""p1"":",45.71513232," , ""p2"":",-112.8094991," , ""p3"":",4941.793016," , ""v1"":",-21.4919699," , ""v2"":",-15.57310826," , ""v3"":",24.31662452," },"
,,," { ""time"":",1540234111," , ""p1"":",45.7150743," , ""p2"":",-112.8093793," , ""p3"":",4939.376722," , ""v1"":",-16.5050882," , ""v2"":",3.410424926," , ""v3"":",-83.12340323," },"
,,," { ""time"":",1540234112," , ""p1"":",45.7150151," , ""p2"":",-112.809202," , ""p3"":",4936.784831," , ""v1"":",-22.80476381," , ""v2"":",15.74716871," , ""v3"":",-140.2956389," },"
,,," { ""time"":",1540234113," , ""p1"":",45.71487759," , ""p2"":",-112.8090806," , ""p3"":",4934.280791," , ""v1"":",-27.26251048," , ""v2"":",19.79452737," , ""v3"":",-159.2206146," },"
,,," { ""time"":",1540234114," , ""p1"":",45.7147212," , ""p2"":",-112.8089456," , ""p3"":",4931.469819," , ""v1"":",-31.77969621," , ""v2"":",24.83414084," , ""v3"":",-177.2226083," },"
,,," { ""time"":",1540234115," , ""p1"":",45.71459124," , ""p2"":",-112.8087845," , ""p3"":",4928.36687," , ""v1"":",-35.88500931," , ""v2"":",28.69558106," , ""v3"":",-194.3466345," },"
,,," { ""time"":",1540234116," , ""p1"":",45.71438957," , ""p2"":",-112.8086118," , ""p3"":",4924.986184," , ""v1"":",-39.26498014," , ""v2"":",30.54225332," , ""v3"":",-210.635512," },"
,,," { ""time"":",1540234117," , ""p1"":",45.71422286," , ""p2"":",-112.8084148," , ""p3"":",4921.341312," , ""v1"":",-42.04905238," , ""v2"":",31.37741366," , ""v3"":",-226.1299716," },"
,,," { ""time"":",1540234118," , ""p1"":",45.71400314," , ""p2"":",-112.808208," , ""p3"":",4917.44516," , ""v1"":",-45.22436798," , ""v2"":",34.48834827," , ""v3"":",-240.8687575," },"
,,," { ""time"":",1540234119," , ""p1"":",45.71223498," , ""p2"":",-112.8050426," , ""p3"":",4923.399015," , ""v1"":",-132.9783496," , ""v2"":",137.871744," , ""v3"":",-212.8031584," },"
,,," { ""time"":",1540234120," , ""p1"":",45.71157168," , ""p2"":",-112.8042343," , ""p3"":",4919.705685," , ""v1"":",-144.4592201," , ""v2"":",148.5459502," , ""v3"":",-230.9328248," },"
,,," { ""time"":",1540234121," , ""p1"":",45.71090073," , ""p2"":",-112.8033581," , ""p3"":",4915.72243," , ""v1"":",-155.0718547," , ""v2"":",157.5845259," , ""v3"":",-248.1782969," },"
,,," { ""time"":",1540234122," , ""p1"":",45.71012904," , ""p2"":",-112.8024369," , ""p3"":",4911.464462," , ""v1"":",-165.7035472," , ""v2"":",168.53813," , ""v3"":",-264.5826975," },"
,,," { ""time"":",1540234123," , ""p1"":",45.7093205," , ""p2"":",-112.801453," , ""p3"":",4906.946317," , ""v1"":",-175.6186714," , ""v2"":",177.3542744," , ""v3"":",-280.187046," },"
,,," { ""time"":",1540234124," , ""p1"":",45.70850813," , ""p2"":",-112.8004224," , ""p3"":",4902.181878," , ""v1"":",-184.6447464," , ""v2"":",184.3944526," , ""v3"":",-295.0303614," },"
,,," { ""time"":",1540234125," , ""p1"":",45.70760874," , ""p2"":",-112.7993472," , ""p3"":",4897.184403," , ""v1"":",-193.1271839," , ""v2"":",191.1772551," , ""v3"":",-309.1497598," },"
,,," { ""time"":",1540234126," , ""p1"":",45.70670979," , ""p2"":",-112.798223," , ""p3"":",4891.966544," , ""v1"":",-201.4582648," , ""v2"":",198.9049926," , ""v3"":",-322.580547,} ] } } }
