MsgAcTrackStateOS,,m_timeOfApplicability,Lat,m_Latitude,Long,m_Longitude,Alt,m_pressureAltitude,Track,m_horizontalVelocity2,GrndSpd,m_horizontalVelocity1,VertSpd,m_verticalVelocity,
"{ ""waypoints"": { ""ownship"": ["," { ""time"":",1540243013," , ""p1"":",33.7124682," , ""p2"":",-112.80444," , ""p3"":",5125.298688," , ""v1"":",5.878764736," , ""v2"":",105.8907206," , ""v3"":",177.0924395," },"
," { ""time"":",1540243014," , ""p1"":",33.71297705," , ""p2"":",-112.80444," , ""p3"":",5128.583533," , ""v1"":",6.823005945," , ""v2"":",106.1796867," , ""v3"":",165.1831499," },"
," { ""time"":",1540243015," , ""p1"":",33.71345174," , ""p2"":",-112.80444," , ""p3"":",5131.369363," , ""v1"":",6.446540006," , ""v2"":",106.5614223," , ""v3"":",172.0668763," },"
," { ""time"":",1540243016," , ""p1"":",33.71396401," , ""p2"":",-112.8044264," , ""p3"":",5134.296968," , ""v1"":",5.910925536," , ""v2"":",106.988776," , ""v3"":",147.4834803," },"
," { ""time"":",1540243017," , ""p1"":",33.71443188," , ""p2"":",-112.8044195," , ""p3"":",5136.945029," , ""v1"":",7.087039288," , ""v2"":",107.2311055," , ""v3"":",193.3338135," },"
," { ""time"":",1540243018," , ""p1"":",33.71494755," , ""p2"":",-112.8044127," , ""p3"":",5140.941149," , ""v1"":",7.464204041," , ""v2"":",107.2365057," , ""v3"":",231.6711456," },"
," { ""time"":",1540243019," , ""p1"":",33.71542567," , ""p2"":",-112.804399," , ""p3"":",5145.157141," , ""v1"":",5.61813667," , ""v2"":",107.2837626," , ""v3"":",275.4147597," },"
," { ""time"":",1540243020," , ""p1"":",33.71593793," , ""p2"":",-112.8043922," , ""p3"":",5150.08641," , ""v1"":",5.445726047," , ""v2"":",107.2623367," , ""v3"":",282.7914681," },"
," { ""time"":",1540243021," , ""p1"":",33.71641605," , ""p2"":",-112.8043786," , ""p3"":",5154.929174," , ""v1"":",6.602668312," , ""v2"":",107.1150097," , ""v3"":",288.3085116," },"
," { ""time"":",1540243022," , ""p1"":",33.71693172," , ""p2"":",-112.8043717," , ""p3"":",5159.210445," , ""v1"":",4.638101854," , ""v2"":",107.3394387," , ""v3"":",163.3002063," },"
," { ""time"":",1540243023," , ""p1"":",33.7174474," , ""p2"":",-112.8043649," , ""p3"":",5162.149665," , ""v1"":",3.801307632," , ""v2"":",107.6033143," , ""v3"":",205.7203158," },"
," { ""time"":",1540243024," , ""p1"":",33.71791869," , ""p2"":",-112.8043717," , ""p3"":",5166.085311," , ""v1"":",4.321284384," , ""v2"":",107.480868," , ""v3"":",284.1296158," },"
," { ""time"":",1540243025," , ""p1"":",33.7184412," , ""p2"":",-112.8043786," , ""p3"":",5171.630138," , ""v1"":",4.306569595," , ""v2"":",107.0789647," , ""v3"":",329.9089867," },"
," { ""time"":",1540243026," , ""p1"":",33.71890906," , ""p2"":",-112.8043854," , ""p3"":",5176.42284," , ""v1"":",3.520983648," , ""v2"":",106.8467008," , ""v3"":",214.3533211," },"
," { ""time"":",1540243027," , ""p1"":",33.71942474," , ""p2"":",-112.8043922," , ""p3"":",5178.33159," , ""v1"":",2.867856414," , ""v2"":",107.1628158," , ""v3"":",-4.623443123," },"
," { ""time"":",1540243028," , ""p1"":",33.71990286," , ""p2"":",-112.8044059," , ""p3"":",5177.184178," , ""v1"":",3.667450011," , ""v2"":",107.5530566," , ""v3"":",-163.4068376," },"
," { ""time"":",1540243029," , ""p1"":",33.72041854," , ""p2"":",-112.8044195," , ""p3"":",5173.307804," , ""v1"":",3.30263552," , ""v2"":",108.2602015," , ""v3"":",-299.6497267," },"
," { ""time"":",1540243030," , ""p1"":",33.72089665," , ""p2"":",-112.8044332," , ""p3"":",5167.759773," , ""v1"":",2.716525035," , ""v2"":",109.0507449," , ""v3"":",-383.4397774," },"
," { ""time"":",1540243031," , ""p1"":",33.72142599," , ""p2"":",-112.8044469," , ""p3"":",5160.834045," , ""v1"":",4.296157398," , ""v2"":",109.5988145," , ""v3"":",-395.7864806," },"
," { ""time"":",1540243032," , ""p1"":",33.72195533," , ""p2"":",-112.8044605," , ""p3"":",5154.140202," , ""v1"":",4.262412422," , ""v2"":",110.1394897," , ""v3"":",-396.4352795," },"
," { ""time"":",1540243033," , ""p1"":",33.72244027," , ""p2"":",-112.8044605," , ""p3"":",5147.739521," , ""v1"":",4.245231508," , ""v2"":",110.6063686," , ""v3"":",-408.1707301," },"
," { ""time"":",1540243034," , ""p1"":",33.72296961," , ""p2"":",-112.8044674," , ""p3"":",5140.492997," , ""v1"":",4.618126539," , ""v2"":",110.8803635," , ""v3"":",-386.4630001," },"
," { ""time"":",1540243035," , ""p1"":",33.7234648," , ""p2"":",-112.8044742," , ""p3"":",5134.905317," , ""v1"":",5.336790506," , ""v2"":",110.8365118," , ""v3"":",-303.6029696," },"
," { ""time"":",1540243036," , ""p1"":",33.72399414," , ""p2"":",-112.8044742," , ""p3"":",5130.815881," , ""v1"":",5.661106671," , ""v2"":",110.7166512," , ""v3"":",-147.7185197," },"
," { ""time"":",1540243037," , ""p1"":",33.72448933," , ""p2"":",-112.804481," , ""p3"":",5128.951586," , ""v1"":",5.044524577," , ""v2"":",110.5912461," , ""v3"":",-85.05085322," },"
," { ""time"":",1540243038," , ""p1"":",33.72501867," , ""p2"":",-112.8044878," , ""p3"":",5128.181838," , ""v1"":",4.687233967," , ""v2"":",110.4019733," , ""v3"":",32.06711116," },"
," { ""time"":",1540243039," , ""p1"":",33.72554801," , ""p2"":",-112.8044947," , ""p3"":",5130.110613," , ""v1"":",5.469616768," , ""v2"":",110.1589865," , ""v3"":",176.3242436," },"
," { ""time"":",1540243040," , ""p1"":",33.72602954," , ""p2"":",-112.8045015," , ""p3"":",5132.69099," , ""v1"":",4.674765029," , ""v2"":",110.1754065," , ""v3"":",134.5938585," },"
," { ""time"":",1540243041," , ""p1"":",33.72656912," , ""p2"":",-112.804522," , ""p3"":",5134.073893," , ""v1"":",4.452512808," , ""v2"":",110.2783347," , ""v3"":",71.54096769," },"
," { ""time"":",1540243042," , ""p1"":",33.72704382," , ""p2"":",-112.8045357," , ""p3"":",5135.178053," , ""v1"":",4.536363625," , ""v2"":",110.0128599," , ""v3"":",72.02043308," },"
," { ""time"":",1540243043," , ""p1"":",33.72757657," , ""p2"":",-112.8045493," , ""p3"":",5136.344689," , ""v1"":",4.294079313," , ""v2"":",109.9296529," , ""v3"":",83.54787751," },"
," { ""time"":",1540243044," , ""p1"":",33.72806835," , ""p2"":",-112.804563," , ""p3"":",5137.190531," , ""v1"":",4.310102937," , ""v2"":",109.6849085," , ""v3"":",23.35075318," },"
," { ""time"":",1540243045," , ""p1"":",33.72859427," , ""p2"":",-112.8045698," , ""p3"":",5137.349927," , ""v1"":",3.954366621," , ""v2"":",109.6928669," , ""v3"":",20.5359121," },"
," { ""time"":",1540243046," , ""p1"":",33.7290758," , ""p2"":",-112.8045835," , ""p3"":",5137.829718," , ""v1"":",5.638894469," , ""v2"":",109.6679641," , ""v3"":",81.9074826," },"
," { ""time"":",1540243047," , ""p1"":",33.72960856," , ""p2"":",-112.8045903," , ""p3"":",5139.097679," , ""v1"":",5.860078192," , ""v2"":",109.4585636," , ""v3"":",41.80022112," },"
